InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category
INV1000,ELE847,Wireless Mouse,3,01-01-2024,81.97,10051,Germany,Electronics
INV1001,ELE381,Laptop Charger,2,01-01-2024,56.43,10092,Australia,Electronics
INV1002,CLO476,T-Shirt,1,01-01-2024,11.43,10014,Germany,Clothing
INV1003,ELE449,Laptop Charger,3,01-02-2024,26.7,10071,USA,Electronics
INV1004,GRO342,Pasta,5,01-02-2024,196.65,10060,UK,Groceries
INV1005,GRO946,Organic Honey,1,01-02-2024,103.24,10020,Australia,Groceries
INV1006,ELE293,Wireless Mouse,3,01-03-2024,118.61,10082,Australia,Electronics
INV1007,CLO744,Jeans,2,01-03-2024,71.5,10086,Australia,Clothing
INV1008,CLO212,Jeans,4,01-03-2024,31.82,10074,UK,Clothing
INV1009,ELE993,Headphones,3,01-04-2024,187.08,10074,Germany,Electronics
INV1010,GRO772,Pasta,2,01-04-2024,96.31,10087,Germany,Groceries
INV1011,GRO271,Coffee Beans,2,01-05-2024,71.25,10099,UK,Groceries
INV1012,CLO428,T-Shirt,1,01-05-2024,32.17,10023,Australia,Clothing
INV1013,ELE680,Wireless Mouse,4,01-05-2024,193.36,10002,Germany,Electronics
INV1014,GRO687,Olive Oil,3,01-06-2024,22.63,10021,Canada,Groceries
INV1015,CLO972,Men's Shirt,5,01-06-2024,48.31,10052,Australia,Clothing
INV1016,CLO104,T-Shirt,3,01-06-2024,136.39,10001,UK,Clothing
INV1017,ELE700,Laptop Charger,5,01-07-2024,121.78,10087,UK,Electronics
INV1018,GRO736,Pasta,1,01-07-2024,152.05,10029,USA,Groceries
INV1019,CLO324,Women's Summer Dress,2,01-07-2024,113.28,10037,Australia,Clothing
INV1020,GRO297,Pasta,3,01-08-2024,129.26,10001,UK,Groceries
INV1021,GRO388,Green Tea,4,01-08-2024,150.88,10063,Australia,Groceries
INV1022,CLO196,Women's Summer Dress,5,01-09-2024,57.21,10059,USA,Clothing
INV1023,ELE697,Laptop Charger,2,01-09-2024,154.87,10020,Australia,Electronics
INV1024,ELE217,Wireless Mouse,5,01-09-2024,31.02,10032,Canada,Electronics
INV1025,CLO795,Jeans,5,01-10-2024,112.57,10075,Germany,Clothing
INV1026,GRO943,Organic Honey,5,01-10-2024,146.81,10057,Australia,Groceries
INV1027,GRO391,Organic Honey,2,01-10-2024,57.84,10021,Germany,Groceries
INV1028,GRO971,Coffee Beans,2,01-11-2024,189.98,10088,Canada,Groceries
INV1029,ELE715,Headphones,2,01-11-2024,126.18,10048,Canada,Electronics
INV1030,GRO455,Organic Honey,4,01-11-2024,160.12,10090,Germany,Groceries
INV1031,GRO703,Coffee Beans,2,01-12-2024,23.1,10058,Australia,Groceries
INV1032,CLO825,Women's Summer Dress,3,01-12-2024,95.66,10041,Germany,Clothing
INV1033,CLO721,Pleated Skirt,4,01/13/2024,33.69,10091,USA,Clothing
INV1034,CLO760,Men's Shirt,1,01/13/2024,151.41,10059,UK,Clothing
INV1035,CLO765,T-Shirt,1,01/13/2024,31.71,10079,Canada,Clothing
INV1036,CLO174,Pleated Skirt,2,01/14/2024,98.48,10014,Australia,Clothing
INV1037,ELE628,Smartphone,3,01/14/2024,16.24,10061,Australia,Electronics
INV1038,GRO279,Olive Oil,5,01/14/2024,183.82,10061,USA,Groceries
INV1039,CLO761,Men's Shirt,2,01/15/2024,12.49,10046,Germany,Clothing
