Date,Store,Product,Promotion,Sales
01-01-2023,2,5,0,870
02-01-2023,3,1,1,862
03-01-2023,4,8,1,443
04-01-2023,4,8,1,874
05-01-2023,4,4,1,900
06-01-2023,1,8,1,705
07-01-2023,1,4,1,469
08-01-2023,4,1,0,269
09-01-2023,1,9,1,834
10-01-2023,1,9,0,861
11-01-2023,1,8,1,339
12-01-2023,2,2,1,983
13-01-2023,2,8,0,601
14-01-2023,1,3,0,535
15-01-2023,1,9,1,405
16-01-2023,2,5,0,807
17-01-2023,2,8,0,712
18-01-2023,2,7,1,838
19-01-2023,1,6,0,948
20-01-2023,2,5,0,103
21-01-2023,4,8,1,815
22-01-2023,1,6,1,243
23-01-2023,2,8,0,784
24-01-2023,4,1,0,479
25-01-2023,4,1,1,961
26-01-2023,1,7,0,287
27-01-2023,3,4,0,953
28-01-2023,1,4,0,733
29-01-2023,1,1,1,545
30-01-2023,1,6,0,820
31-01-2023,3,2,1,895
01-02-2023,4,3,0,265
02-02-2023,3,4,0,457
03-02-2023,2,3,0,740
04-02-2023,2,9,1,922
05-02-2023,2,1,0,930
06-02-2023,1,6,0,268
07-02-2023,2,5,0,738
08-02-2023,1,3,0,110
09-02-2023,3,5,0,582
10-02-2023,3,3,1,510
11-02-2023,2,6,0,391
12-02-2023,1,6,0,215
13-02-2023,4,1,1,573
14-02-2023,3,1,0,592
15-02-2023,1,1,0,725
16-02-2023,2,1,1,813
17-02-2023,4,5,1,714
18-02-2023,1,6,1,974
19-02-2023,2,1,0,678
20-02-2023,2,9,1,799
21-02-2023,4,6,1,398
22-02-2023,3,6,0,487
23-02-2023,3,2,0,332
24-02-2023,2,1,1,749
25-02-2023,1,5,0,934
26-02-2023,3,6,1,305
27-02-2023,3,5,0,815
28-02-2023,3,8,1,352
01-03-2023,1,2,1,204
02-03-2023,3,5,1,409
03-03-2023,1,8,0,806
04-03-2023,1,1,1,892
05-03-2023,4,1,0,668
06-03-2023,2,5,0,208
07-03-2023,3,8,0,796
08-03-2023,1,2,0,898
09-03-2023,1,3,1,941
10-03-2023,2,2,1,597
11-03-2023,1,1,0,958
12-03-2023,4,7,0,857
